企业代号,企业名称,估计信用等级,信用得分,风险等级,分级依据指标,是否一票否决,一票否决原因,是否高风险池,高风险池原因,是否放贷,初始建议额度_万元,额度上限_万元,最终贷款额度_万元,建议贷款年利率,客户流失率
E212,***建电管理咨询有限公司,类C,57.450195,中风险,信用得分=57.45，有效销项金额=76890077.77，毛利率=99.81%，有效经营月份=38，最大作废率=10.95%，最大负数率=1.19%，进销匹配差异=1.00，客户HHI=0.063，供应商HHI=0.166,否,,否,,资金不足未放贷,50,50.000000,0.000000,0.110500,0.711101
E213,***科技有限公司,类A,78.282754,较低风险,信用得分=78.28，有效销项金额=57697215.60，毛利率=21.31%，有效经营月份=37，最大作废率=9.61%，最大负数率=1.81%，进销匹配差异=0.21，客户HHI=0.036，供应商HHI=0.066,否,,否,,放贷,80,80.000000,80,0.074500,0.511097
E214,***建筑工程有限公司,类B,68.413734,较低风险,信用得分=68.41，有效销项金额=64252383.44，毛利率=43.67%，有效经营月份=37，最大作废率=17.86%，最大负数率=1.73%，进销匹配差异=0.44，客户HHI=0.038，供应商HHI=0.066,否,,否,,放贷,71.572361,80.000000,71.572361,0.070500,0.458295
E215,***建筑工程有限公司,类C,52.703281,中风险,信用得分=52.70，有效销项金额=67502754.20，毛利率=99.68%，有效经营月份=28，最大作废率=9.24%，最大负数率=0.00%，进销匹配差异=1.00，客户HHI=0.282，供应商HHI=0.146,否,,否,,资金不足未放贷,50,50.000000,0.000000,0.110500,0.711101
E216,***建设工程有限公司,类B,69.819566,较低风险,信用得分=69.82，有效销项金额=58325941.25，毛利率=42.93%，有效经营月份=37，最大作废率=11.50%，最大负数率=0.65%，进销匹配差异=0.43，客户HHI=0.147，供应商HHI=0.099,否,,否,,放贷,72.837609,80.000000,72.837609,0.070500,0.458295
E217,个体经营E217 ,类D,32.714219,高风险,信用得分=32.71，有效销项金额=2434236.61，毛利率=-2073.73%，有效经营月份=25，最大作废率=95.46%，最大负数率=1.07%，进销匹配差异=20.74，客户HHI=0.148，供应商HHI=0.010,是,最大作废率95.46% > 40%；进销匹配差异20.74 > 4,否,,不放贷,0.000000,0.000000,0.000000,0.000000,0.000000
E218,***建设工程有限公司,类C,54.720828,中风险,信用得分=54.72，有效销项金额=39328554.23，毛利率=-3.75%，有效经营月份=36，最大作废率=40.95%，最大负数率=0.36%，进销匹配差异=0.04，客户HHI=0.525，供应商HHI=0.140,是,最大作废率40.95% > 40%,否,,不放贷,0.000000,0.000000,0.000000,0.000000,0.000000
E219,***品牌营销策划有限公司,类B,63.980999,中风险,信用得分=63.98，有效销项金额=35642623.95，毛利率=-0.10%，有效经营月份=36，最大作废率=21.19%，最大负数率=5.30%，进销匹配差异=0.00，客户HHI=0.084，供应商HHI=0.031,否,,否,,放贷,50,50.000000,50,0.106500,0.705316
E220,***文化传播有限公司,类A,78.307039,较低风险,信用得分=78.31，有效销项金额=80286331.10，毛利率=31.26%，有效经营月份=37，最大作废率=4.93%，最大负数率=0.85%，进销匹配差异=0.31，客户HHI=0.368，供应商HHI=0.011,否,,否,,放贷,80,80.000000,80,0.074500,0.511097
E221,***测绘服务有限公司,类A,76.825419,较低风险,信用得分=76.83，有效销项金额=45971718.41，毛利率=27.20%，有效经营月份=29，最大作废率=6.05%，最大负数率=2.02%，进销匹配差异=0.27，客户HHI=0.038，供应商HHI=0.093,否,,否,,放贷,79.142877,80.000000,79.142877,0.074500,0.511097
E222,***数码科技有限公司,类B,67.644730,较低风险,信用得分=67.64，有效销项金额=62615800.41，毛利率=16.58%，有效经营月份=37，最大作废率=25.65%，最大负数率=2.59%，进销匹配差异=0.17，客户HHI=0.072，供应商HHI=0.026,否,,是,最大作废率25.65% > 25%,放贷,30.000000,30.000000,30.000000,0.070500,0.458295
E223,***科技有限公司,类C,57.280426,中风险,信用得分=57.28，有效销项金额=31385466.78，毛利率=-22.88%，有效经营月份=19，最大作废率=9.83%，最大负数率=3.97%，进销匹配差异=0.23，客户HHI=0.251，供应商HHI=0.179,否,,否,,资金不足未放贷,50,50.000000,0.000000,0.110500,0.711101
E224,***纸业有限公司,类A,74.659548,较低风险,信用得分=74.66，有效销项金额=95946734.50，毛利率=-2.63%，有效经营月份=37，最大作废率=4.74%，最大负数率=1.33%，进销匹配差异=0.03，客户HHI=0.123，供应商HHI=0.105,否,,否,,放贷,77.193593,80.000000,77.193593,0.074500,0.511097
E225,***物业服务有限责任公司***分公司,类A,80.327915,低风险,信用得分=80.33，有效销项金额=68686418.24，毛利率=36.43%，有效经营月份=38，最大作废率=6.28%，最大负数率=1.18%，进销匹配差异=0.36，客户HHI=0.021，供应商HHI=0.188,否,,否,,放贷,82.295123,100.000000,82.295123,0.046500,0.135727
E226,***建设工程有限公司,类B,64.076513,中风险,信用得分=64.08，有效销项金额=44714111.36，毛利率=-3.03%，有效经营月份=35，最大作废率=6.86%，最大负数率=2.77%，进销匹配差异=0.03，客户HHI=0.429，供应商HHI=0.089,否,,否,,放贷,50,50.000000,50,0.106500,0.705316
E227,***安全技术有限公司,类A,75.732559,较低风险,信用得分=75.73，有效销项金额=55848119.35，毛利率=9.16%，有效经营月份=36，最大作废率=7.41%，最大负数率=0.81%，进销匹配差异=0.09，客户HHI=0.055，供应商HHI=0.025,否,,否,,放贷,78.159303,80.000000,78.159303,0.074500,0.511097
E228,***文化发展有限公司,类B,69.339662,较低风险,信用得分=69.34，有效销项金额=59965638.31，毛利率=50.47%，有效经营月份=37，最大作废率=15.56%，最大负数率=8.84%，进销匹配差异=0.50，客户HHI=0.031，供应商HHI=0.033,否,,否,,放贷,72.405696,80.000000,72.405696,0.070500,0.458295
E229,***家贸易有限公司,类B,65.994846,较低风险,信用得分=65.99，有效销项金额=54774178.32，毛利率=-3.23%，有效经营月份=37，最大作废率=10.32%，最大负数率=0.49%，进销匹配差异=0.03，客户HHI=0.682，供应商HHI=0.094,否,,否,,放贷,69.395362,80.000000,69.395362,0.070500,0.458295
E230,***建筑劳务有限公司,类C,48.414167,高风险,信用得分=48.41，有效销项金额=49308980.03，毛利率=99.76%，有效经营月份=34，最大作废率=12.43%，最大负数率=2.96%，进销匹配差异=1.00，客户HHI=0.065，供应商HHI=0.665,否,,是,信用得分48.41 < 50,资金不足未放贷,30,30.000000,0.000000,0.122500,0.784481
E231,***建筑科技有限公司,类C,58.969851,中风险,信用得分=58.97，有效销项金额=33376164.70，毛利率=-7.05%，有效经营月份=36，最大作废率=9.31%，最大负数率=0.00%，进销匹配差异=0.07，客户HHI=0.296，供应商HHI=0.166,否,,否,,放贷,50,50.000000,50,0.110500,0.711101
E232,***投资发展有限责任公司,类C,59.696476,中风险,信用得分=59.70，有效销项金额=47970719.64，毛利率=26.77%，有效经营月份=38，最大作废率=5.56%，最大负数率=7.63%，进销匹配差异=0.27，客户HHI=0.500，供应商HHI=0.623,否,,否,,放贷,50,50.000000,50,0.110500,0.711101
E233,***劳务有限公司,类D,42.003675,高风险,信用得分=42.00，有效销项金额=19988668.90，毛利率=97.99%，有效经营月份=26，最大作废率=6.30%，最大负数率=0.00%，进销匹配差异=0.98，客户HHI=0.854，供应商HHI=0.026,否,,是,信用得分42.00 < 50,资金不足未放贷,30,30.000000,0.000000,0.122500,0.784481
E234,***机电设备商贸有限公司,类C,60.129459,中风险,信用得分=60.13，有效销项金额=39835337.13，毛利率=88.57%，有效经营月份=29，最大作废率=3.97%，最大负数率=0.66%，进销匹配差异=0.89，客户HHI=0.020，供应商HHI=0.143,否,,否,,放贷,50,50.000000,50,0.110500,0.711101
E235,个体经营E235 ,类B,63.392074,中风险,信用得分=63.39，有效销项金额=40024592.54，毛利率=64.89%，有效经营月份=35，最大作废率=6.90%，最大负数率=0.39%，进销匹配差异=0.65，客户HHI=0.100，供应商HHI=0.582,否,,否,,放贷,50,50.000000,50,0.106500,0.705316
E236,个体经营E236 ,类C,47.786844,高风险,信用得分=47.79，有效销项金额=44647209.89，毛利率=88.84%，有效经营月份=35，最大作废率=22.34%，最大负数率=1.95%，进销匹配差异=0.89，客户HHI=0.230，供应商HHI=0.223,否,,是,信用得分47.79 < 50,资金不足未放贷,30,30.000000,0.000000,0.122500,0.784481
E237,个体经营E237 ,类C,53.582765,中风险,信用得分=53.58，有效销项金额=19792717.95，毛利率=13.58%，有效经营月份=27，最大作废率=25.08%，最大负数率=5.37%，进销匹配差异=0.14，客户HHI=0.308，供应商HHI=0.264,否,,是,最大作废率25.08% > 25%,资金不足未放贷,30.000000,30.000000,0.000000,0.110500,0.711101
E238,个体经营E238 ,类A,73.932646,较低风险,信用得分=73.93，有效销项金额=56429503.98，毛利率=71.67%，有效经营月份=36，最大作废率=6.85%，最大负数率=4.68%，进销匹配差异=0.72，客户HHI=0.004，供应商HHI=0.120,否,,否,,放贷,76.539382,80.000000,76.539382,0.074500,0.511097
E239,个体经营E239 ,类C,60.110027,中风险,信用得分=60.11，有效销项金额=26270147.96，毛利率=1.50%，有效经营月份=27，最大作废率=12.07%，最大负数率=1.32%，进销匹配差异=0.01，客户HHI=0.093，供应商HHI=0.156,否,,否,,放贷,50,50.000000,50,0.110500,0.711101
E240,个体经营E240 ,类D,39.581968,高风险,信用得分=39.58，有效销项金额=17016977.52，毛利率=-76.42%，有效经营月份=25，最大作废率=83.87%，最大负数率=2.42%，进销匹配差异=0.76，客户HHI=0.957，供应商HHI=0.010,是,最大作废率83.87% > 40%,否,,不放贷,0.000000,0.000000,0.000000,0.000000,0.000000
E241,个体经营E241 ,类C,55.732532,中风险,信用得分=55.73，有效销项金额=37898804.22，毛利率=84.22%，有效经营月份=36，最大作废率=9.19%，最大负数率=0.63%，进销匹配差异=0.84，客户HHI=0.565，供应商HHI=0.102,否,,否,,资金不足未放贷,50,50.000000,0.000000,0.110500,0.711101
E242,个体经营E242 ,类D,34.920324,高风险,信用得分=34.92，有效销项金额=1518719.26，毛利率=-1125.08%，有效经营月份=25，最大作废率=93.16%，最大负数率=2.66%，进销匹配差异=11.25，客户HHI=0.201，供应商HHI=0.007,是,最大作废率93.16% > 40%；进销匹配差异11.25 > 4,否,,不放贷,0.000000,0.000000,0.000000,0.000000,0.000000
E243,***科技有限公司,类C,56.466504,中风险,信用得分=56.47，有效销项金额=32091033.41，毛利率=85.70%，有效经营月份=34，最大作废率=4.78%，最大负数率=0.29%，进销匹配差异=0.86，客户HHI=0.208，供应商HHI=0.253,否,,否,,资金不足未放贷,50,50.000000,0.000000,0.110500,0.711101
E244,个体经营E244 ,类C,56.669470,中风险,信用得分=56.67，有效销项金额=34862195.29，毛利率=60.36%，有效经营月份=36，最大作废率=17.35%，最大负数率=2.43%，进销匹配差异=0.60，客户HHI=0.317，供应商HHI=0.058,否,,否,,资金不足未放贷,50,50.000000,0.000000,0.110500,0.711101
E245,***建筑劳务有限公司,类D,44.291006,高风险,信用得分=44.29，有效销项金额=25170610.39，毛利率=99.47%，有效经营月份=30，最大作废率=12.46%，最大负数率=5.10%，进销匹配差异=0.99，客户HHI=0.158，供应商HHI=0.129,否,,是,信用得分44.29 < 50,资金不足未放贷,30,30.000000,0.000000,0.122500,0.784481
E246,***物业服务有限公司,类B,63.544107,中风险,信用得分=63.54，有效销项金额=31377751.46，毛利率=79.21%，有效经营月份=37，最大作废率=9.65%，最大负数率=1.81%，进销匹配差异=0.79，客户HHI=0.156，供应商HHI=0.090,否,,否,,放贷,50,50.000000,50,0.106500,0.705316
E247,***石化有限公司,类B,62.501036,中风险,信用得分=62.50，有效销项金额=21712508.80，毛利率=43.42%，有效经营月份=38，最大作废率=7.24%，最大负数率=0.74%，进销匹配差异=0.43，客户HHI=0.599，供应商HHI=0.056,否,,否,,放贷,50,50.000000,50,0.106500,0.705316
E248,***智能科技有限公司,类B,64.178517,中风险,信用得分=64.18，有效销项金额=20868777.10，毛利率=33.95%，有效经营月份=37，最大作废率=12.84%，最大负数率=1.48%，进销匹配差异=0.34，客户HHI=0.085，供应商HHI=0.048,否,,否,,放贷,50,50.000000,50,0.106500,0.705316
E249,***建筑工程有限公司,类C,58.603573,中风险,信用得分=58.60，有效销项金额=51819821.70，毛利率=47.32%，有效经营月份=35，最大作废率=13.77%，最大负数率=0.14%，进销匹配差异=0.47，客户HHI=0.973，供应商HHI=0.151,否,,否,,放贷,50,50.000000,50,0.110500,0.711101
E250,***塑料厂,类C,58.282893,中风险,信用得分=58.28，有效销项金额=32443945.69，毛利率=73.39%，有效经营月份=38，最大作废率=15.17%，最大负数率=2.96%，进销匹配差异=0.73，客户HHI=0.061，供应商HHI=0.186,否,,否,,放贷,50,50.000000,50,0.110500,0.711101
E251,***医疗器械有限责任公司,类C,57.376211,中风险,信用得分=57.38，有效销项金额=12859876.88，毛利率=28.94%，有效经营月份=33，最大作废率=13.02%，最大负数率=4.44%，进销匹配差异=0.29，客户HHI=0.115，供应商HHI=0.047,否,,否,,资金不足未放贷,50,50.000000,0.000000,0.110500,0.711101
E252,***印务有限公司,类B,66.712769,较低风险,信用得分=66.71，有效销项金额=39283384.00，毛利率=33.21%，有效经营月份=37，最大作废率=5.53%，最大负数率=1.85%，进销匹配差异=0.33，客户HHI=0.134，供应商HHI=0.054,否,,否,,放贷,70.041492,80.000000,70.041492,0.070500,0.458295
E253,***钢结构工程有限公司,类B,65.859912,较低风险,信用得分=65.86，有效销项金额=23725535.58，毛利率=22.52%，有效经营月份=37，最大作废率=16.54%，最大负数率=0.79%，进销匹配差异=0.23，客户HHI=0.034，供应商HHI=0.103,否,,否,,放贷,69.273921,80.000000,69.273921,0.070500,0.458295
E254,***设备安装工程有限公司,类C,53.079104,中风险,信用得分=53.08，有效销项金额=37200358.72，毛利率=91.34%，有效经营月份=35，最大作废率=7.51%，最大负数率=0.41%，进销匹配差异=0.91，客户HHI=0.259，供应商HHI=0.238,否,,否,,资金不足未放贷,50,50.000000,0.000000,0.110500,0.711101
E255,个体经营E255 ,类C,57.830223,中风险,信用得分=57.83，有效销项金额=38606481.84，毛利率=70.81%，有效经营月份=36，最大作废率=6.26%，最大负数率=4.69%，进销匹配差异=0.71，客户HHI=0.434，供应商HHI=0.130,否,,否,,放贷,50,50.000000,50,0.110500,0.711101
E256,***物资有限公司,类B,68.048572,较低风险,信用得分=68.05，有效销项金额=29926361.09，毛利率=65.72%，有效经营月份=37，最大作废率=3.57%，最大负数率=1.07%，进销匹配差异=0.66，客户HHI=0.043，供应商HHI=0.078,否,,否,,放贷,71.243715,80.000000,71.243715,0.070500,0.458295
E257,***门窗安装有限公司,类C,60.434667,中风险,信用得分=60.43，有效销项金额=23793654.89，毛利率=36.58%，有效经营月份=30，最大作废率=12.19%，最大负数率=3.05%，进销匹配差异=0.37，客户HHI=0.104，供应商HHI=0.054,否,,否,,放贷,50,50.000000,50,0.110500,0.711101
E258,***国际货运有限公司,类B,67.272923,较低风险,信用得分=67.27，有效销项金额=68046478.54，毛利率=77.67%，有效经营月份=38，最大作废率=4.61%，最大负数率=2.12%，进销匹配差异=0.78，客户HHI=0.149，供应商HHI=0.074,否,,否,,放贷,70.545631,80.000000,70.545631,0.070500,0.458295
E259,***文化传媒有限公司,类B,71.616405,较低风险,信用得分=71.62，有效销项金额=31725623.11，毛利率=41.77%，有效经营月份=37，最大作废率=13.57%，最大负数率=2.32%，进销匹配差异=0.42，客户HHI=0.015，供应商HHI=0.016,否,,否,,放贷,74.454765,80.000000,74.454765,0.070500,0.458295
E260,***广告有限公司,类B,70.506954,较低风险,信用得分=70.51，有效销项金额=22168583.16，毛利率=19.54%，有效经营月份=37，最大作废率=11.52%，最大负数率=1.51%，进销匹配差异=0.20，客户HHI=0.044，供应商HHI=0.043,否,,否,,放贷,73.456258,80.000000,73.456258,0.070500,0.458295
E261,***医疗器械有限公司,类B,65.314003,较低风险,信用得分=65.31，有效销项金额=15967699.38，毛利率=46.04%，有效经营月份=37，最大作废率=11.69%，最大负数率=1.55%，进销匹配差异=0.46，客户HHI=0.052，供应商HHI=0.545,否,,否,,放贷,68.782603,80.000000,68.782603,0.070500,0.458295
E262,个体经营E262 ,类B,65.466372,较低风险,信用得分=65.47，有效销项金额=24523963.30，毛利率=33.05%，有效经营月份=34，最大作废率=5.20%，最大负数率=1.30%，进销匹配差异=0.33，客户HHI=0.234，供应商HHI=0.093,否,,否,,放贷,68.919735,80.000000,68.919735,0.070500,0.458295
E263,***通信工程有限公司,类C,56.527908,中风险,信用得分=56.53，有效销项金额=26231558.89，毛利率=45.29%，有效经营月份=37，最大作废率=18.55%，最大负数率=3.83%，进销匹配差异=0.45，客户HHI=0.256，供应商HHI=0.201,否,,否,,资金不足未放贷,50,50.000000,0.000000,0.110500,0.711101
E264,个体经营E264 ,类D,34.469857,高风险,信用得分=34.47，有效销项金额=1173035.70，毛利率=-1907.39%，有效经营月份=25，最大作废率=94.33%，最大负数率=4.49%，进销匹配差异=19.07，客户HHI=0.532，供应商HHI=0.007,是,最大作废率94.33% > 40%；进销匹配差异19.07 > 4,否,,不放贷,0.000000,0.000000,0.000000,0.000000,0.000000
E265,***净化工程有限公司,类B,65.013071,较低风险,信用得分=65.01，有效销项金额=23812366.63，毛利率=9.66%，有效经营月份=33，最大作废率=15.58%，最大负数率=3.37%，进销匹配差异=0.10，客户HHI=0.093，供应商HHI=0.115,否,,否,,放贷,68.511764,80.000000,68.511764,0.070500,0.458295
E266,***煤矿机械有限公司,类C,48.483960,高风险,信用得分=48.48，有效销项金额=26289597.49，毛利率=95.35%，有效经营月份=36，最大作废率=7.02%，最大负数率=1.86%，进销匹配差异=0.95，客户HHI=0.676，供应商HHI=0.323,否,,是,信用得分48.48 < 50,资金不足未放贷,30,30.000000,0.000000,0.122500,0.784481
E267,***林园艺场,类D,41.799149,高风险,信用得分=41.80，有效销项金额=17493142.05，毛利率=94.09%，有效经营月份=19，最大作废率=11.01%，最大负数率=2.20%，进销匹配差异=0.94，客户HHI=0.176，供应商HHI=0.339,否,,是,信用得分41.80 < 50,资金不足未放贷,30,30.000000,0.000000,0.122500,0.784481
E268,***建筑劳务有限公司,类C,48.960622,高风险,信用得分=48.96，有效销项金额=25591515.94，毛利率=77.13%，有效经营月份=25，最大作废率=10.64%，最大负数率=2.50%，进销匹配差异=0.77，客户HHI=0.299，供应商HHI=0.179,否,,是,信用得分48.96 < 50,资金不足未放贷,30,30.000000,0.000000,0.122500,0.784481
E269,***节能服务有限公司,类D,41.136931,高风险,信用得分=41.14，有效销项金额=30060690.45，毛利率=96.89%，有效经营月份=36，最大作废率=13.00%，最大负数率=4.93%，进销匹配差异=0.97，客户HHI=0.693，供应商HHI=0.160,否,,是,信用得分41.14 < 50,资金不足未放贷,30,30.000000,0.000000,0.122500,0.784481
E270,个体经营E270 ,类C,51.534319,中风险,信用得分=51.53，有效销项金额=20044158.20，毛利率=70.76%，有效经营月份=36，最大作废率=19.28%，最大负数率=2.89%，进销匹配差异=0.71，客户HHI=0.332，供应商HHI=0.257,否,,否,,资金不足未放贷,50,50.000000,0.000000,0.110500,0.711101
E271,***科技有限公司,类B,65.465328,较低风险,信用得分=65.47，有效销项金额=30204201.37，毛利率=13.51%，有效经营月份=37，最大作废率=21.01%，最大负数率=2.87%，进销匹配差异=0.14，客户HHI=0.063，供应商HHI=0.047,否,,否,,放贷,68.918795,80.000000,68.918795,0.070500,0.458295
E272,个体经营E272 ,类C,58.096802,中风险,信用得分=58.10，有效销项金额=13847647.50，毛利率=68.02%，有效经营月份=36，最大作废率=8.91%，最大负数率=5.55%，进销匹配差异=0.68，客户HHI=0.149，供应商HHI=0.089,否,,否,,放贷,50,50.000000,50,0.110500,0.711101
E273,个体经营E273 ,类B,69.529865,较低风险,信用得分=69.53，有效销项金额=23004728.28，毛利率=56.66%，有效经营月份=35，最大作废率=5.56%，最大负数率=1.16%，进销匹配差异=0.57，客户HHI=0.001，供应商HHI=0.375,否,,否,,放贷,72.576878,80.000000,72.576878,0.070500,0.458295
E274,***建筑劳务有限公司,类D,37.884266,高风险,信用得分=37.88，有效销项金额=11733690.96，毛利率=99.70%，有效经营月份=17，最大作废率=11.69%，最大负数率=1.30%，进销匹配差异=1.00，客户HHI=0.145，供应商HHI=0.484,否,,是,信用得分37.88 < 50,资金不足未放贷,30,30.000000,0.000000,0.122500,0.784481
E275,***网络工程有限公司,类C,48.813438,高风险,信用得分=48.81，有效销项金额=20636866.03，毛利率=92.25%，有效经营月份=38，最大作废率=19.05%，最大负数率=5.44%，进销匹配差异=0.92，客户HHI=0.075，供应商HHI=0.128,否,,是,信用得分48.81 < 50,资金不足未放贷,30,30.000000,0.000000,0.122500,0.784481
E276,***体育设施工程有限公司,类C,50.406626,中风险,信用得分=50.41，有效销项金额=12182839.35，毛利率=66.81%，有效经营月份=35，最大作废率=20.28%，最大负数率=3.77%，进销匹配差异=0.67，客户HHI=0.156，供应商HHI=0.230,否,,否,,资金不足未放贷,50,50.000000,0.000000,0.110500,0.711101
E277,***消防设备制造有限公司,类C,60.198701,中风险,信用得分=60.20，有效销项金额=18107878.28，毛利率=30.87%，有效经营月份=30，最大作废率=6.27%，最大负数率=0.60%，进销匹配差异=0.31，客户HHI=0.748，供应商HHI=0.084,否,,否,,放贷,50,50.000000,50,0.110500,0.711101
E278,***贸易有限公司,类B,65.017578,较低风险,信用得分=65.02，有效销项金额=13017866.00，毛利率=15.19%，有效经营月份=38，最大作废率=6.72%，最大负数率=0.84%，进销匹配差异=0.15，客户HHI=0.138，供应商HHI=0.057,否,,否,,放贷,68.515821,80.000000,68.515821,0.070500,0.458295
E279,***环保包装有限公司,类C,56.904610,中风险,信用得分=56.90，有效销项金额=22943219.65，毛利率=27.24%，有效经营月份=30，最大作废率=4.94%，最大负数率=6.27%，进销匹配差异=0.27，客户HHI=0.844，供应商HHI=0.120,否,,否,,资金不足未放贷,50,50.000000,0.000000,0.110500,0.711101
E280,个体经营E280 ,类B,68.786736,较低风险,信用得分=68.79，有效销项金额=17080553.21，毛利率=28.42%，有效经营月份=36，最大作废率=6.63%，最大负数率=0.68%，进销匹配差异=0.28，客户HHI=0.035，供应商HHI=0.092,否,,否,,放贷,71.908063,80.000000,71.908063,0.070500,0.458295
E281,***商业管理有限责任公司,类C,58.732262,中风险,信用得分=58.73，有效销项金额=16333110.18，毛利率=-20.18%，有效经营月份=34，最大作废率=5.65%，最大负数率=0.52%，进销匹配差异=0.20，客户HHI=0.207，供应商HHI=0.304,否,,否,,放贷,50,50.000000,50,0.110500,0.711101
E282,***影城有限公司***分公司,类C,59.762700,中风险,信用得分=59.76，有效销项金额=21071603.49，毛利率=43.16%，有效经营月份=38，最大作废率=27.74%，最大负数率=2.39%，进销匹配差异=0.43，客户HHI=0.098，供应商HHI=0.522,否,,是,最大作废率27.74% > 25%,资金不足未放贷,30.000000,30.000000,0.000000,0.110500,0.711101
E283,***机械铸造有限责任公司,类B,67.863391,较低风险,信用得分=67.86，有效销项金额=19645465.23，毛利率=22.64%，有效经营月份=37，最大作废率=4.43%，最大负数率=0.00%，进销匹配差异=0.23，客户HHI=0.148，供应商HHI=0.103,否,,否,,放贷,71.077052,80.000000,71.077052,0.070500,0.458295
E284,***成焊科技有限公司,类B,66.511638,较低风险,信用得分=66.51，有效销项金额=16027714.88，毛利率=33.13%，有效经营月份=38，最大作废率=7.94%，最大负数率=0.47%，进销匹配差异=0.33，客户HHI=0.330，供应商HHI=0.083,否,,否,,放贷,69.860474,80.000000,69.860474,0.070500,0.458295
E285,个体经营E285 ,类C,60.256161,中风险,信用得分=60.26，有效销项金额=30216720.82，毛利率=46.79%，有效经营月份=36，最大作废率=18.79%，最大负数率=1.24%，进销匹配差异=0.47，客户HHI=0.070，供应商HHI=0.070,否,,否,,放贷,50,50.000000,50,0.110500,0.711101
E286,***印务有限公司,类C,54.187776,中风险,信用得分=54.19，有效销项金额=12127861.53，毛利率=6.88%，有效经营月份=24，最大作废率=22.87%，最大负数率=1.94%，进销匹配差异=0.07，客户HHI=0.147，供应商HHI=0.080,否,,否,,资金不足未放贷,50,50.000000,0.000000,0.110500,0.711101
E287,***鞋材有限公司,类B,65.363931,较低风险,信用得分=65.36，有效销项金额=15043409.13，毛利率=5.08%，有效经营月份=37，最大作废率=13.59%，最大负数率=0.65%，进销匹配差异=0.05，客户HHI=0.130，供应商HHI=0.061,否,,否,,放贷,68.827538,80.000000,68.827538,0.070500,0.458295
E288,个体经营E288 ,类C,57.736864,中风险,信用得分=57.74，有效销项金额=16013736.53，毛利率=17.66%，有效经营月份=34，最大作废率=22.08%，最大负数率=1.30%，进销匹配差异=0.18，客户HHI=0.125，供应商HHI=0.188,否,,否,,放贷,50,50.000000,50,0.110500,0.711101
E289,***运业有限公司***分公司,类B,68.053159,较低风险,信用得分=68.05，有效销项金额=21051602.52，毛利率=65.63%，有效经营月份=38，最大作废率=6.67%，最大负数率=1.43%，进销匹配差异=0.66，客户HHI=0.081，供应商HHI=0.174,否,,否,,放贷,71.247843,80.000000,71.247843,0.070500,0.458295
E290,***机电有限公司,类C,59.516692,中风险,信用得分=59.52，有效销项金额=16894268.32，毛利率=68.59%，有效经营月份=38，最大作废率=12.18%，最大负数率=1.69%，进销匹配差异=0.69，客户HHI=0.133，供应商HHI=0.045,否,,否,,放贷,50,50.000000,50,0.110500,0.711101
E291,***文业建设工程有限公司,类D,33.171748,高风险,信用得分=33.17，有效销项金额=11223475.72，毛利率=-49.84%，有效经营月份=30，最大作废率=20.37%，最大负数率=2.29%，进销匹配差异=0.50，客户HHI=0.941，供应商HHI=0.559,否,,是,信用得分33.17 < 50,资金不足未放贷,30,30.000000,0.000000,0.122500,0.784481
E292,***物流有限公司,类B,63.272470,中风险,信用得分=63.27，有效销项金额=11604986.87，毛利率=41.10%，有效经营月份=34，最大作废率=3.58%，最大负数率=0.15%，进销匹配差异=0.41，客户HHI=0.211，供应商HHI=0.197,否,,否,,放贷,50,50.000000,50,0.106500,0.705316
E293,***物资有限公司,类C,53.390787,中风险,信用得分=53.39，有效销项金额=7696185.75，毛利率=2.40%，有效经营月份=37，最大作废率=8.55%，最大负数率=0.00%，进销匹配差异=0.02，客户HHI=0.637，供应商HHI=0.664,否,,否,,资金不足未放贷,50,50.000000,0.000000,0.110500,0.711101
E294,个体经营E294 ,类C,57.325465,中风险,信用得分=57.33，有效销项金额=22641319.89，毛利率=81.94%，有效经营月份=36，最大作废率=13.65%，最大负数率=0.46%，进销匹配差异=0.82，客户HHI=0.072，供应商HHI=0.082,否,,否,,资金不足未放贷,50,50.000000,0.000000,0.110500,0.711101
E295,***电器设备制造有限公司,类B,63.046554,中风险,信用得分=63.05，有效销项金额=13675456.42，毛利率=18.27%，有效经营月份=37，最大作废率=17.93%，最大负数率=1.20%，进销匹配差异=0.18，客户HHI=0.058，供应商HHI=0.069,否,,否,,放贷,50,50.000000,50,0.106500,0.705316
E296,***装饰设计工程有限公司,类D,45.668898,高风险,信用得分=45.67，有效销项金额=12371267.16，毛利率=56.01%，有效经营月份=30，最大作废率=13.10%，最大负数率=7.54%，进销匹配差异=0.56，客户HHI=0.395，供应商HHI=0.043,否,,是,信用得分45.67 < 50,资金不足未放贷,30,30.000000,0.000000,0.122500,0.784481
E297,***建筑机械租赁有限公司,类C,50.792493,中风险,信用得分=50.79，有效销项金额=13646000.04，毛利率=24.54%，有效经营月份=18，最大作废率=11.48%，最大负数率=0.00%，进销匹配差异=0.25，客户HHI=0.489，供应商HHI=0.584,否,,否,,资金不足未放贷,50,50.000000,0.000000,0.110500,0.711101
E298,***电器维护服务有限公司,类C,60.098806,中风险,信用得分=60.10，有效销项金额=16228313.17，毛利率=66.28%，有效经营月份=38，最大作废率=13.40%，最大负数率=1.14%，进销匹配差异=0.66，客户HHI=0.292，供应商HHI=0.103,否,,否,,放贷,50,50.000000,50,0.110500,0.711101
