企业代号,企业名称,信誉评级,是否违约,信用得分,风险等级,分级依据指标,是否一票否决,一票否决原因,是否高风险池,高风险池原因,是否放贷,初始建议额度_万元,额度上限_万元,最终贷款额度_万元,建议贷款年利率,客户流失率
E88,***贸易有限公司,A,否,58.295749,中风险,信用得分=58.30，有效销项金额=2525652.87，毛利率=74.34%，有效经营月份=37，最大作废率=9.00%，最大负数率=1.00%，进销匹配差异=0.74，客户HHI=0.044，供应商HHI=0.416,否,,否,,放贷,50,50.000000,50,0.102500,0.731275
E89,***物资有限公司,A,否,50.372593,中风险,信用得分=50.37，有效销项金额=1863249.86，毛利率=-38.88%，有效经营月份=29，最大作废率=4.07%，最大负数率=0.00%，进销匹配差异=0.39，客户HHI=0.095，供应商HHI=0.978,否,,否,,放贷,50,50.000000,50,0.102500,0.731275
E90,***文化传媒有限责任公司,C,否,44.767491,高风险,信用得分=44.77，有效销项金额=3249122.07，毛利率=77.50%，有效经营月份=32，最大作废率=28.35%，最大负数率=2.30%，进销匹配差异=0.77，客户HHI=0.324，供应商HHI=0.121,否,,是,信用得分44.77 < 50；最大作废率28.35% > 25%,放贷,30,30.000000,30,0.122500,0.784481
E91,***科技实业有限公司,A,否,68.584456,较低风险,信用得分=68.58，有效销项金额=2335401.36，毛利率=44.32%，有效经营月份=37，最大作废率=5.08%，最大负数率=0.78%，进销匹配差异=0.44，客户HHI=0.036，供应商HHI=0.176,否,,否,,放贷,71.726010,80.000000,80.000000,0.074500,0.511097
E92,***地质灾害防治有限公司,C,否,45.383149,高风险,信用得分=45.38，有效销项金额=2209553.36，毛利率=93.27%，有效经营月份=33，最大作废率=7.69%，最大负数率=5.13%，进销匹配差异=0.93，客户HHI=0.368，供应商HHI=0.059,否,,是,信用得分45.38 < 50,放贷,30,30.000000,30,0.122500,0.784481
E93,***电脑设计事务所,B,否,55.459736,中风险,信用得分=55.46，有效销项金额=1476055.34，毛利率=80.64%，有效经营月份=37，最大作废率=4.73%，最大负数率=3.38%，进销匹配差异=0.81，客户HHI=0.115，供应商HHI=0.169,否,,否,,放贷,50,50.000000,50,0.106500,0.705316
E94,***汽车美容有限公司,C,否,38.515406,高风险,信用得分=38.52，有效销项金额=1053200.08，毛利率=98.67%，有效经营月份=26，最大作废率=9.18%，最大负数率=4.59%，进销匹配差异=0.99，客户HHI=0.140，供应商HHI=0.885,否,,是,信用得分38.52 < 50,放贷,30,30.000000,30,0.122500,0.784481
E95,***兰花店,B,否,53.956726,中风险,信用得分=53.96，有效销项金额=2310757.26，毛利率=99.95%，有效经营月份=35，最大作废率=5.37%，最大负数率=0.00%，进销匹配差异=1.00，客户HHI=0.034，供应商HHI=1.000,否,,否,,放贷,50,50.000000,50,0.106500,0.705316
E96,***土地整理有限公司,C,否,29.998354,高风险,信用得分=30.00，有效销项金额=1438203.89，毛利率=-61.24%，有效经营月份=10，最大作废率=10.00%，最大负数率=0.00%，进销匹配差异=0.61，客户HHI=0.747，供应商HHI=0.993,否,,是,信用得分30.00 < 50,放贷,30,30.000000,30,0.122500,0.784481
E97,***美工装饰部,B,否,46.303752,高风险,信用得分=46.30，有效销项金额=971400.82，毛利率=98.07%，有效经营月份=20，最大作废率=3.41%，最大负数率=1.52%，进销匹配差异=0.98，客户HHI=0.112，供应商HHI=0.972,否,,是,信用得分46.30 < 50,放贷,30,30.000000,30,0.122500,0.791504
E98,***文化传播有限公司,B,否,48.421210,高风险,信用得分=48.42，有效销项金额=1403241.57，毛利率=85.80%，有效经营月份=33，最大作废率=13.07%，最大负数率=3.92%，进销匹配差异=0.86，客户HHI=0.167，供应商HHI=0.271,否,,是,信用得分48.42 < 50,放贷,30,30.000000,30,0.122500,0.791504
E99,***建筑工程有限责任公司,D,是,24.715437,高风险,信用得分=24.72，有效销项金额=1181250.29，毛利率=-249.83%，有效经营月份=25，最大作废率=37.50%，最大负数率=1.25%，进销匹配差异=2.50，客户HHI=0.617，供应商HHI=0.241,是,信誉评级D,否,,不放贷,0.000000,0.000000,0.000000,0.000000,0.000000
E100,***装饰工程有限公司,D,是,37.574295,高风险,信用得分=37.57，有效销项金额=671348.73，毛利率=96.86%，有效经营月份=34，最大作废率=1.01%，最大负数率=15.15%，进销匹配差异=0.97，客户HHI=0.170，供应商HHI=0.118,是,信誉评级D,否,,不放贷,0.000000,0.000000,0.000000,0.000000,0.000000
E101,***灯饰工程有限公司,D,是,27.212378,高风险,信用得分=27.21，有效销项金额=340545.58，毛利率=86.52%，有效经营月份=14，最大作废率=49.21%，最大负数率=0.00%，进销匹配差异=0.87，客户HHI=0.615，供应商HHI=0.609,是,信誉评级D；最大作废率49.21% > 40%,否,,不放贷,0.000000,0.000000,0.000000,0.000000,0.000000
E102,***大药房有限责任公司,D,是,36.250546,高风险,信用得分=36.25，有效销项金额=380552.12，毛利率=-734.86%，有效经营月份=38，最大作废率=14.69%，最大负数率=1.69%，进销匹配差异=7.35，客户HHI=0.318，供应商HHI=0.157,是,信誉评级D；进销匹配差异7.35 > 4,否,,不放贷,0.000000,0.000000,0.000000,0.000000,0.000000
E103,***科技有限公司,D,是,41.568963,高风险,信用得分=41.57，有效销项金额=1702417.64，毛利率=59.90%，有效经营月份=28，最大作废率=15.62%，最大负数率=3.12%，进销匹配差异=0.60，客户HHI=0.273，供应商HHI=0.118,是,信誉评级D,否,,不放贷,0.000000,0.000000,0.000000,0.000000,0.000000
E104,***管理咨询有限责任公司,C,否,34.997018,高风险,信用得分=35.00，有效销项金额=262650.51，毛利率=99.90%，有效经营月份=10，最大作废率=9.52%，最大负数率=4.76%，进销匹配差异=1.00，客户HHI=0.272，供应商HHI=1.000,否,,是,信用得分35.00 < 50,放贷,30,30.000000,30,0.122500,0.784481
E105,***建材经营部,C,否,45.814358,高风险,信用得分=45.81，有效销项金额=924819.37，毛利率=99.20%，有效经营月份=23，最大作废率=0.82%，最大负数率=3.28%，进销匹配差异=0.99，客户HHI=0.026，供应商HHI=0.614,否,,是,信用得分45.81 < 50,放贷,30,30.000000,30,0.122500,0.784481
E106,***财务管理有限公司,B,否,51.747679,中风险,信用得分=51.75，有效销项金额=586048.86，毛利率=91.41%，有效经营月份=32，最大作废率=9.80%，最大负数率=2.61%，进销匹配差异=0.91，客户HHI=0.057，供应商HHI=0.329,否,,否,,放贷,50,50.000000,50,0.106500,0.705316
E107,***科技有限公司,D,是,24.112597,高风险,信用得分=24.11，有效销项金额=786792.39，毛利率=86.70%，有效经营月份=16，最大作废率=37.04%，最大负数率=0.00%，进销匹配差异=0.87，客户HHI=0.566，供应商HHI=0.682,是,信誉评级D,否,,不放贷,0.000000,0.000000,0.000000,0.000000,0.000000
E108,***商贸有限公司,D,是,50.890171,中风险,信用得分=50.89，有效销项金额=191471.11，毛利率=48.14%，有效经营月份=25，最大作废率=0.00%，最大负数率=3.03%，进销匹配差异=0.48，客户HHI=0.220，供应商HHI=0.076,是,信誉评级D；有效销项金额191471.11 <= 5%分位197251.46,否,,不放贷,0.000000,0.000000,0.000000,0.000000,0.000000
E109,***服饰有限公司,D,是,29.214494,高风险,信用得分=29.21，有效销项金额=442766.77，毛利率=99.26%，有效经营月份=15，最大作废率=30.30%，最大负数率=0.00%，进销匹配差异=0.99，客户HHI=0.154，供应商HHI=0.179,是,信誉评级D,否,,不放贷,0.000000,0.000000,0.000000,0.000000,0.000000
E110,***通讯器材经营部,C,否,34.796220,高风险,信用得分=34.80，有效销项金额=196919.86，毛利率=99.51%，有效经营月份=21，最大作废率=25.30%，最大负数率=0.00%，进销匹配差异=1.00，客户HHI=0.154，供应商HHI=1.000,是,有效销项金额196919.86 <= 5%分位197251.46,否,,不放贷,0.000000,0.000000,0.000000,0.000000,0.000000
E111,***科技有限公司,D,是,44.306905,高风险,信用得分=44.31，有效销项金额=722954.01，毛利率=32.29%，有效经营月份=31，最大作废率=18.40%，最大负数率=11.20%，进销匹配差异=0.32，客户HHI=0.390，供应商HHI=0.153,是,信誉评级D,否,,不放贷,0.000000,0.000000,0.000000,0.000000,0.000000
E112,***机械设备有限公司,D,是,39.492671,高风险,信用得分=39.49，有效销项金额=936281.43，毛利率=15.55%，有效经营月份=27，最大作废率=27.27%，最大负数率=4.55%，进销匹配差异=0.16，客户HHI=0.992，供应商HHI=0.309,是,信誉评级D,否,,不放贷,0.000000,0.000000,0.000000,0.000000,0.000000
E113,***美居科技有限公司,D,是,22.863913,高风险,信用得分=22.86，有效销项金额=283580.55，毛利率=-354.87%，有效经营月份=22，最大作废率=34.04%，最大负数率=0.00%，进销匹配差异=3.55，客户HHI=0.453，供应商HHI=0.503,是,信誉评级D,否,,不放贷,0.000000,0.000000,0.000000,0.000000,0.000000
E114,***食品有限责任公司,D,是,38.316498,高风险,信用得分=38.32，有效销项金额=219628.78，毛利率=-157.95%，有效经营月份=34，最大作废率=12.00%，最大负数率=1.33%，进销匹配差异=1.58，客户HHI=0.080，供应商HHI=0.180,是,信誉评级D,否,,不放贷,0.000000,0.000000,0.000000,0.000000,0.000000
E115,***装饰工程有限公司,D,是,20.622284,高风险,信用得分=20.62，有效销项金额=55533.98，毛利率=99.05%，有效经营月份=5，最大作废率=33.33%，最大负数率=0.00%，进销匹配差异=0.99，客户HHI=0.450，供应商HHI=0.500,是,信誉评级D；有效销项金额55533.98 <= 5%分位197251.46；有效经营月份数5 < 6,否,,不放贷,0.000000,0.000000,0.000000,0.000000,0.000000
E116,***门窗有限公司,D,是,37.881583,高风险,信用得分=37.88，有效销项金额=231427.54，毛利率=98.87%，有效经营月份=19，最大作废率=8.51%，最大负数率=0.00%，进销匹配差异=0.99，客户HHI=0.090，供应商HHI=0.150,是,信誉评级D,否,,不放贷,0.000000,0.000000,0.000000,0.000000,0.000000
E117,***人力资源管理咨询有限公司,D,是,23.067235,高风险,信用得分=23.07，有效销项金额=523351.31，毛利率=98.72%，有效经营月份=12，最大作废率=40.91%，最大负数率=0.00%，进销匹配差异=0.99，客户HHI=1.000，供应商HHI=0.579,是,信誉评级D；最大作废率40.91% > 40%,否,,不放贷,0.000000,0.000000,0.000000,0.000000,0.000000
E118,***体育用品有限公司,D,是,46.501373,高风险,信用得分=46.50，有效销项金额=272744.78，毛利率=77.19%，有效经营月份=35，最大作废率=6.90%，最大负数率=0.69%，进销匹配差异=0.77，客户HHI=0.104，供应商HHI=0.341,是,信誉评级D,否,,不放贷,0.000000,0.000000,0.000000,0.000000,0.000000
E119,***药房,D,是,32.845877,高风险,信用得分=32.85，有效销项金额=35671.86，毛利率=-516.00%，有效经营月份=31，最大作废率=14.29%，最大负数率=0.32%，进销匹配差异=5.16，客户HHI=0.097，供应商HHI=0.162,是,信誉评级D；有效销项金额35671.86 <= 5%分位197251.46；进销匹配差异5.16 > 4,否,,不放贷,0.000000,0.000000,0.000000,0.000000,0.000000
E120,***陈列广告有限公司,D,是,26.991337,高风险,信用得分=26.99，有效销项金额=190673.21，毛利率=90.50%，有效经营月份=15，最大作废率=68.97%，最大负数率=0.00%，进销匹配差异=0.90，客户HHI=0.305，供应商HHI=0.348,是,信誉评级D；有效销项金额190673.21 <= 5%分位197251.46；最大作废率68.97% > 40%,否,,不放贷,0.000000,0.000000,0.000000,0.000000,0.000000
E121,***药业连锁有限公司***药店,D,是,33.209642,高风险,信用得分=33.21，有效销项金额=101462.02，毛利率=-958.02%，有效经营月份=26，最大作废率=12.37%，最大负数率=2.00%，进销匹配差异=9.58，客户HHI=0.043，供应商HHI=0.962,是,信誉评级D；有效销项金额101462.02 <= 5%分位197251.46；进销匹配差异9.58 > 4,否,,不放贷,0.000000,0.000000,0.000000,0.000000,0.000000
E122,***商贸有限责任公司,D,是,48.367537,高风险,信用得分=48.37，有效销项金额=58921.82，毛利率=14.00%，有效经营月份=30，最大作废率=13.56%，最大负数率=6.78%，进销匹配差异=0.14，客户HHI=0.070，供应商HHI=0.277,是,信誉评级D；有效销项金额58921.82 <= 5%分位197251.46,否,,不放贷,0.000000,0.000000,0.000000,0.000000,0.000000
E123,***创科技有限责任公司,D,是,22.194828,高风险,信用得分=22.19，有效销项金额=200235.85，毛利率=99.60%，有效经营月份=15，最大作废率=49.23%，最大负数率=0.00%，进销匹配差异=1.00，客户HHI=0.415，供应商HHI=0.556,是,信誉评级D；最大作废率49.23% > 40%,否,,不放贷,0.000000,0.000000,0.000000,0.000000,0.000000
