行业类别,冲击等级,脆弱性修正系数,冲击额度折减系数,企业代号,企业名称,估计信用等级,信用得分,风险等级,是否一票否决,一票否决原因,是否高风险池,高风险池原因,是否放贷,初始建议额度_万元,额度上限_万元,最终贷款额度_万元,建议贷款年利率,客户流失率
普通批发商贸,中冲击,1.150000,0.900000,E278,***贸易有限公司,类B,63.463186,中风险,否,,否,,放贷,45.000000,45.000000,45.000000,0.106500,0.705316
其他服务,中冲击,1.200000,0.900000,E279,***环保包装有限公司,类C,55.236276,中风险,否,,否,,放贷,45.000000,45.000000,45.000000,0.110500,0.711101
可选消费与门店经营,高冲击,1.000000,0.750000,E280,个体经营E280 ,类B,66.025424,较低风险,否,,否,,放贷,52.067161,60.000000,52.067161,0.070500,0.458295
其他服务,中冲击,1.150000,0.900000,E281,***商业管理有限责任公司,类C,55.980236,中风险,否,,否,,放贷,45.000000,45.000000,45.000000,0.110500,0.711101
其他服务,中冲击,1.100000,0.900000,E282,***影城有限公司***分公司,类B,60.094300,中风险,否,,是,最大作废率27.74% > 25%,放贷,27.000000,27.000000,27.000000,0.106500,0.705316
制造与设备,中冲击,1.000000,0.900000,E283,***机械铸造有限责任公司,类B,66.765554,较低风险,否,,否,,放贷,63.080099,72.000000,63.080099,0.070500,0.458295
科技与线上服务,中冲击,1.000000,0.900000,E284,***成焊科技有限公司,类B,65.473798,较低风险,否,,否,,放贷,62.033776,72.000000,62.033776,0.070500,0.458295
可选消费与门店经营,高冲击,1.150000,0.000000,E285,个体经营E285 ,类C,56.293611,中风险,否,,是,高冲击行业且销项收入波动系数>1.5,高冲击高风险池暂停授信,0.000000,0.000000,0.000000,0.000000,0.000000
其他服务,中冲击,1.000000,0.900000,E286,***印务有限公司,类C,51.859898,中风险,否,,否,,放贷,45.000000,45.000000,45.000000,0.110500,0.711101
其他服务,中冲击,1.000000,0.900000,E287,***鞋材有限公司,类B,63.314269,中风险,否,,否,,放贷,45.000000,45.000000,45.000000,0.106500,0.705316
可选消费与门店经营,高冲击,1.000000,0.750000,E288,个体经营E288 ,类C,54.593464,中风险,否,,否,,放贷,37.500000,37.500000,37.500000,0.110500,0.711101
其他服务,中冲击,1.000000,0.900000,E289,***运业有限公司***分公司,类B,67.834926,较低风险,否,,否,,放贷,63.946290,72.000000,63.946290,0.070500,0.458295
制造与设备,中冲击,1.000000,0.900000,E290,***机电有限公司,类B,60.420610,中风险,否,,否,,放贷,45.000000,45.000000,45.000000,0.106500,0.705316
建筑与工程,中高冲击,1.600000,0.820000,E291,***文业建设工程有限公司,类D,28.370197,高风险,否,,是,信用得分28.37 < 50,资金不足未放贷,24.600000,24.600000,0.000000,0.122500,0.784481
物流运输,中冲击,1.000000,0.900000,E292,***物流有限公司,类B,61.817309,中风险,否,,否,,放贷,45.000000,45.000000,45.000000,0.106500,0.705316
普通批发商贸,中冲击,1.300000,0.900000,E293,***物资有限公司,类C,50.500118,中风险,否,,否,,放贷,45.000000,45.000000,45.000000,0.110500,0.711101
可选消费与门店经营,高冲击,1.000000,0.750000,E294,个体经营E294 ,类C,55.642079,中风险,否,,否,,放贷,37.500000,37.500000,37.500000,0.110500,0.711101
制造与设备,中冲击,1.000000,0.900000,E295,***电器设备制造有限公司,类B,61.731682,中风险,否,,否,,放贷,45.000000,45.000000,45.000000,0.106500,0.705316
装饰装修与家居,高冲击,1.250000,0.000000,E296,***装饰设计工程有限公司,类D,44.099512,高风险,否,,是,信用得分44.10 < 50；高冲击行业且销项收入波动系数>1.5,高冲击高风险池暂停授信,0.000000,0.000000,0.000000,0.000000,0.000000
建筑与工程,中高冲击,1.000000,0.820000,E297,***建筑机械租赁有限公司,类C,48.092643,高风险,否,,是,信用得分48.09 < 50,放贷,24.600000,24.600000,24.600000,0.122500,0.784481
其他服务,中冲击,1.000000,0.900000,E298,***电器维护服务有限公司,类B,61.200108,中风险,否,,否,,放贷,45.000000,45.000000,45.000000,0.106500,0.705316
其他服务,中冲击,1.150000,0.900000,E299,***压缩天然气有限责任公司,类C,55.915749,中风险,否,,否,,放贷,45.000000,45.000000,45.000000,0.110500,0.711101
建筑与工程,中高冲击,1.150000,0.820000,E300,***建设工程有限公司,类C,57.163123,中风险,否,,否,,放贷,41.000000,41.000000,41.000000,0.110500,0.711101
其他服务,中冲击,1.150000,0.900000,E301,***企业管理咨询有限公司,类B,63.313215,中风险,否,,否,,放贷,45.000000,45.000000,45.000000,0.106500,0.705316
制造与设备,中冲击,1.000000,0.900000,E302,***机电设备有限公司,类C,58.190633,中风险,否,,否,,放贷,45.000000,45.000000,45.000000,0.110500,0.711101
其他服务,中冲击,1.000000,0.900000,E303,***图书发行有限公司,类C,51.916113,中风险,否,,否,,放贷,45.000000,45.000000,45.000000,0.110500,0.711101
科技与线上服务,中冲击,1.150000,0.900000,E304,***环保科技有限公司,类C,55.955934,中风险,否,,否,,放贷,45.000000,45.000000,45.000000,0.110500,0.711101
其他服务,中冲击,1.000000,0.900000,E305,***劳务有限公司,类C,57.296368,中风险,否,,否,,放贷,45.000000,45.000000,45.000000,0.110500,0.711101
可选消费与门店经营,高冲击,1.000000,0.750000,E306,个体经营E306 ,类C,54.030687,中风险,否,,否,,放贷,37.500000,37.500000,37.500000,0.110500,0.711101
建筑与工程,中高冲击,1.150000,0.820000,E307,***通信工程有限公司,类C,48.651693,高风险,否,,是,信用得分48.65 < 50,放贷,24.600000,24.600000,24.600000,0.122500,0.784481
文娱广告与线下服务,高冲击,1.000000,0.750000,E308,***餐饮文化服务有限公司,类B,64.049285,中风险,否,,否,,放贷,37.500000,37.500000,37.500000,0.106500,0.705316
可选消费与门店经营,高冲击,1.000000,0.750000,E309,个体经营E309 ,类C,54.960777,中风险,否,,否,,放贷,37.500000,37.500000,37.500000,0.110500,0.711101
其他服务,中冲击,1.000000,0.900000,E310,***律师事务所,类B,67.231239,较低风险,否,,否,,放贷,63.457304,72.000000,63.457304,0.070500,0.458295
其他服务,中冲击,1.000000,0.900000,E311,***律师事务所,类C,55.020584,中风险,否,,否,,放贷,45.000000,45.000000,45.000000,0.110500,0.711101
装饰装修与家居,高冲击,1.150000,0.000000,E312,***家居用品有限公司,类C,54.065965,中风险,是,进销匹配差异5.01 > 4,否,,不放贷,0.000000,0.000000,0.000000,0.000000,0.000000
物流运输,中冲击,1.000000,0.900000,E313,***物流有限公司,类B,61.680976,中风险,否,,否,,放贷,45.000000,45.000000,45.000000,0.106500,0.705316
文娱广告与线下服务,高冲击,1.000000,0.750000,E314,***房地产营销策划有限公司,类C,51.649054,中风险,否,,否,,放贷,37.500000,37.500000,37.500000,0.110500,0.711101
其他服务,中冲击,1.000000,0.900000,E315,***轮胎有限公司,类B,61.954536,中风险,否,,否,,放贷,45.000000,45.000000,45.000000,0.106500,0.705316
可选消费与门店经营,高冲击,1.150000,0.000000,E316,个体经营E316 ,类C,49.156992,高风险,否,,是,信用得分49.16 < 50；高冲击行业且销项收入波动系数>1.5,高冲击高风险池暂停授信,0.000000,0.000000,0.000000,0.000000,0.000000
科技与线上服务,中冲击,1.250000,0.900000,E317,***科技有限公司,类C,46.776325,高风险,否,,是,信用得分46.78 < 50,放贷,27.000000,27.000000,27.000000,0.122500,0.784481
普通批发商贸,中冲击,1.000000,0.900000,E318,***商贸有限公司,类C,50.857819,中风险,否,,否,,放贷,45.000000,45.000000,45.000000,0.110500,0.711101
可选消费与门店经营,高冲击,1.000000,0.750000,E319,个体经营E319 ,类B,65.484709,较低风险,否,,否,,放贷,51.702179,60.000000,51.702179,0.070500,0.458295
建筑与工程,中高冲击,1.000000,0.820000,E320,***建筑设计有限公司,类C,52.349829,中风险,否,,否,,放贷,41.000000,41.000000,41.000000,0.110500,0.711101
物流运输,中冲击,1.000000,0.900000,E321,***生物流有限公司,类C,55.460065,中风险,否,,否,,放贷,45.000000,45.000000,45.000000,0.110500,0.711101
装饰装修与家居,高冲击,1.000000,0.750000,E322,***装饰工程设计有限公司,类C,57.045893,中风险,否,,否,,放贷,37.500000,37.500000,37.500000,0.110500,0.711101
装饰装修与家居,高冲击,1.250000,0.000000,E323,***建筑装饰工程有限公司,类D,41.890906,高风险,否,,是,信用得分41.89 < 50；最大作废率29.09% > 25%；高冲击行业且销项收入波动系数>1.5,高冲击高风险池暂停授信,0.000000,0.000000,0.000000,0.000000,0.000000
其他服务,中冲击,1.150000,0.000000,E324,***汽贸有限公司,类D,37.759597,高风险,是,进销匹配差异4.75 > 4,否,,不放贷,0.000000,0.000000,0.000000,0.000000,0.000000
其他服务,中冲击,1.150000,0.900000,E325,***通讯器材有限公司,类C,51.356561,中风险,否,,否,,放贷,45.000000,45.000000,45.000000,0.110500,0.711101
制造与设备,中冲击,1.000000,0.900000,E326,***包装材料有限公司,类B,63.193592,中风险,否,,否,,放贷,45.000000,45.000000,45.000000,0.106500,0.705316
可选消费与门店经营,高冲击,1.200000,0.750000,E327,个体经营E327 ,类C,55.640457,中风险,否,,否,,放贷,37.500000,37.500000,37.500000,0.110500,0.711101
科技与线上服务,中冲击,1.150000,0.900000,E328,***科技有限公司,类C,50.683207,中风险,否,,否,,放贷,45.000000,45.000000,45.000000,0.110500,0.711101
其他服务,中冲击,1.100000,0.900000,E329,***园艺有限责任公司,类D,40.861125,高风险,否,,是,信用得分40.86 < 50,放贷,27.000000,27.000000,27.000000,0.122500,0.784481
其他服务,中冲击,1.000000,0.900000,E330,***酒店管理有限公司,类B,67.637147,较低风险,否,,否,,放贷,63.786089,72.000000,63.786089,0.070500,0.458295
文娱广告与线下服务,高冲击,1.250000,0.000000,E331,***广告有限公司,类C,48.463072,高风险,否,,是,信用得分48.46 < 50；高冲击行业且销项收入波动系数>1.5,高冲击高风险池暂停授信,0.000000,0.000000,0.000000,0.000000,0.000000
普通批发商贸,中冲击,1.150000,0.900000,E332,***商贸有限公司,类B,59.885305,中风险,否,,否,,放贷,45.000000,45.000000,45.000000,0.106500,0.705316
文娱广告与线下服务,高冲击,1.000000,0.750000,E333,***房地产营销策划有限公司,类C,50.806691,中风险,否,,否,,放贷,37.500000,37.500000,37.500000,0.110500,0.711101
科技与线上服务,中冲击,1.000000,0.900000,E334,***机械科技有限公司,类C,54.344916,中风险,否,,否,,放贷,45.000000,45.000000,45.000000,0.110500,0.711101
其他服务,中冲击,1.100000,0.900000,E335,***挖掘机租赁经营部,类C,47.700433,高风险,否,,是,信用得分47.70 < 50,放贷,27.000000,27.000000,27.000000,0.122500,0.784481
其他服务,中冲击,1.450000,0.900000,E336,***猕猴桃专业合作社,类D,28.777306,高风险,否,,是,信用得分28.78 < 50,资金不足未放贷,27.000000,27.000000,0.000000,0.122500,0.784481
可选消费与门店经营,高冲击,1.000000,0.750000,E337,个体经营E337 ,类C,51.710023,中风险,否,,否,,放贷,37.500000,37.500000,37.500000,0.110500,0.711101
普通批发商贸,中冲击,1.250000,0.900000,E338,***商贸有限公司,类C,48.082248,高风险,否,,是,信用得分48.08 < 50,放贷,27.000000,27.000000,27.000000,0.122500,0.784481
其他服务,中冲击,1.000000,0.900000,E339,***居益卫浴家俬厂,类C,56.773139,中风险,否,,否,,放贷,45.000000,45.000000,45.000000,0.110500,0.711101
物流运输,中冲击,1.450000,0.900000,E340,***物流有限公司,类D,35.658215,高风险,否,,是,信用得分35.66 < 50,资金不足未放贷,27.000000,27.000000,0.000000,0.122500,0.784481
其他服务,中冲击,1.300000,0.900000,E341,***纺织品有限公司,类C,48.369290,高风险,否,,是,信用得分48.37 < 50,放贷,27.000000,27.000000,27.000000,0.122500,0.784481
制造与设备,中冲击,1.000000,0.900000,E342,***裕华机械厂,类C,55.737591,中风险,否,,否,,放贷,45.000000,45.000000,45.000000,0.110500,0.711101
普通批发商贸,中冲击,1.300000,0.900000,E343,***五金工具经营部,类D,41.581343,高风险,否,,是,信用得分41.58 < 50,放贷,27.000000,27.000000,27.000000,0.122500,0.784481
制造与设备,中冲击,1.150000,0.900000,E344,***机械有限公司,类C,57.833787,中风险,否,,否,,放贷,45.000000,45.000000,45.000000,0.110500,0.711101
科技与线上服务,中冲击,1.000000,0.900000,E345,***科技有限公司,类C,52.041477,中风险,否,,否,,放贷,45.000000,45.000000,45.000000,0.110500,0.711101
可选消费与门店经营,高冲击,1.150000,0.750000,E346,个体经营E346 ,类B,62.061208,中风险,否,,否,,放贷,37.500000,37.500000,37.500000,0.106500,0.705316
制造与设备,中冲击,1.000000,0.900000,E347,***不锈钢材料有限公司,类C,55.940236,中风险,否,,否,,放贷,45.000000,45.000000,45.000000,0.110500,0.711101
其他服务,中冲击,1.000000,0.900000,E348,***酒店管理有限公司,类B,64.437777,中风险,否,,否,,放贷,45.000000,45.000000,45.000000,0.106500,0.705316
文娱广告与线下服务,高冲击,1.200000,0.000000,E349,***营销策划广告有限公司,类D,38.441972,高风险,否,,是,信用得分38.44 < 50；高冲击行业且有效经营月份数<12,高冲击高风险池暂停授信,0.000000,0.000000,0.000000,0.000000,0.000000
制造与设备,中冲击,1.150000,0.900000,E350,***演艺设备有限公司,类C,50.399210,中风险,否,,否,,放贷,45.000000,45.000000,45.000000,0.110500,0.711101
文娱广告与线下服务,高冲击,1.250000,0.000000,E351,***文化传播有限公司,类D,40.907255,高风险,否,,是,信用得分40.91 < 50；高冲击行业且销项收入波动系数>1.5,高冲击高风险池暂停授信,0.000000,0.000000,0.000000,0.000000,0.000000
装饰装修与家居,高冲击,1.150000,0.000000,E352,***居装饰工程有限公司,类D,41.272943,高风险,是,进销匹配差异4.18 > 4,否,,不放贷,0.000000,0.000000,0.000000,0.000000,0.000000
其他服务,中冲击,1.100000,0.900000,E353,***税务师事务所有限公司,类C,47.925911,高风险,否,,是,信用得分47.93 < 50,放贷,27.000000,27.000000,27.000000,0.122500,0.784481
文娱广告与线下服务,高冲击,1.150000,0.000000,E354,***广告有限公司,类C,50.030731,中风险,否,,是,高冲击行业且销项收入波动系数>1.5,高冲击高风险池暂停授信,0.000000,0.000000,0.000000,0.000000,0.000000
其他服务,中冲击,1.300000,0.900000,E355,***地毯经营部,类C,47.819441,高风险,否,,是,信用得分47.82 < 50,放贷,27.000000,27.000000,27.000000,0.122500,0.784481
装饰装修与家居,高冲击,1.500000,0.000000,E356,***建材装饰部,类D,37.816290,高风险,否,,是,信用得分37.82 < 50,高冲击高风险池暂停授信,0.000000,0.000000,0.000000,0.000000,0.000000
装饰装修与家居,高冲击,1.100000,0.000000,E357,***家居经营部,类D,36.407255,高风险,否,,是,信用得分36.41 < 50,高冲击高风险池暂停授信,0.000000,0.000000,0.000000,0.000000,0.000000
普通批发商贸,中冲击,1.300000,0.900000,E358,***五金经营部,类D,34.079588,高风险,否,,是,信用得分34.08 < 50,资金不足未放贷,27.000000,27.000000,0.000000,0.122500,0.784481
其他服务,中冲击,1.300000,0.900000,E359,***厨房用品经营部,类D,40.208874,高风险,否,,是,信用得分40.21 < 50,放贷,27.000000,27.000000,27.000000,0.122500,0.784481
建筑与工程,中高冲击,1.400000,0.000000,E360,***建筑劳务有限公司,类D,22.290358,高风险,是,有效经营月份数3.0 < 6,否,,不放贷,0.000000,0.000000,0.000000,0.000000,0.000000
建筑与工程,中高冲击,1.150000,0.820000,E361,***勘察设计工程有限公司,类C,48.054686,高风险,否,,是,信用得分48.05 < 50,放贷,24.600000,24.600000,24.600000,0.122500,0.784481
建筑与工程,中高冲击,1.250000,0.820000,E362,***建材有限公司,类D,39.890058,高风险,否,,是,信用得分39.89 < 50,放贷,24.600000,24.600000,15.632548,0.122500,0.784481
建筑与工程,中高冲击,1.100000,0.820000,E363,***建筑工程设计有限公司,类D,37.343326,高风险,否,,是,信用得分37.34 < 50,资金不足未放贷,24.600000,24.600000,0.000000,0.122500,0.784481
制造与设备,中冲击,1.000000,0.900000,E364,***电子有限公司,类C,53.737845,中风险,否,,否,,放贷,45.000000,45.000000,45.000000,0.110500,0.711101
科技与线上服务,中冲击,1.150000,0.900000,E365,***信息技术有限公司,类C,49.975492,高风险,否,,是,信用得分49.98 < 50,放贷,27.000000,27.000000,27.000000,0.122500,0.784481
其他服务,中冲击,1.300000,0.900000,E366,***房地产经纪有限公司,类D,42.832755,高风险,否,,是,信用得分42.83 < 50,放贷,27.000000,27.000000,27.000000,0.122500,0.784481
制造与设备,中冲击,1.300000,0.900000,E367,***电子商务有限公司,类D,38.264249,高风险,否,,是,信用得分38.26 < 50,资金不足未放贷,27.000000,27.000000,0.000000,0.122500,0.784481
科技与线上服务,中冲击,1.250000,0.900000,E368,***通信科技有限责任公司,类D,36.101906,高风险,否,,是,信用得分36.10 < 50；最大作废率31.25% > 25%,资金不足未放贷,27.000000,27.000000,0.000000,0.122500,0.784481
其他服务,中冲击,1.000000,0.900000,E369,***网络技术有限公司,类C,57.801270,中风险,否,,否,,放贷,45.000000,45.000000,45.000000,0.110500,0.711101
其他服务,中冲击,1.100000,0.900000,E370,***设计服务部,类D,36.707063,高风险,否,,是,信用得分36.71 < 50,资金不足未放贷,27.000000,27.000000,0.000000,0.122500,0.784481
科技与线上服务,中冲击,1.250000,0.900000,E371,***自动化科技有限公司,类D,38.451617,高风险,否,,是,信用得分38.45 < 50,资金不足未放贷,27.000000,27.000000,0.000000,0.122500,0.784481
其他服务,中冲击,1.000000,0.900000,E372,***汽车维修有限责任公司,类C,57.581082,中风险,否,,否,,放贷,45.000000,45.000000,45.000000,0.110500,0.711101
可选消费与门店经营,高冲击,1.300000,0.000000,E373,个体经营E373 ,类D,38.897806,高风险,是,进销匹配差异13.97 > 4,否,,不放贷,0.000000,0.000000,0.000000,0.000000,0.000000
建筑与工程,中高冲击,1.450000,0.820000,E374,***建材经营部,类D,34.158985,高风险,否,,是,信用得分34.16 < 50,资金不足未放贷,24.600000,24.600000,0.000000,0.122500,0.784481
其他服务,中冲击,1.200000,0.900000,E375,***电器经营部,类C,49.901483,高风险,否,,是,信用得分49.90 < 50,放贷,27.000000,27.000000,27.000000,0.122500,0.784481
装饰装修与家居,高冲击,1.450000,0.000000,E376,***建筑装饰设计有限责任公司,类D,28.301996,高风险,否,,是,信用得分28.30 < 50；高冲击行业且销项收入波动系数>1.5；高冲击行业且有效经营月份数<12,高冲击高风险池暂停授信,0.000000,0.000000,0.000000,0.000000,0.000000
文娱广告与线下服务,高冲击,1.250000,0.000000,E377,***文化传播有限公司,类D,42.026894,高风险,否,,是,信用得分42.03 < 50；最大作废率33.33% > 25%；高冲击行业且销项收入波动系数>1.5,高冲击高风险池暂停授信,0.000000,0.000000,0.000000,0.000000,0.000000
普通批发商贸,中冲击,1.400000,0.900000,E378,***商贸有限公司,类D,41.377136,高风险,否,,是,信用得分41.38 < 50,放贷,27.000000,27.000000,27.000000,0.122500,0.784481
医疗药品与健康服务,低冲击,1.100000,1.000000,E379,***药业有限公司,类C,53.669033,中风险,否,,是,最大作废率35.15% > 25%,放贷,30.000000,30.000000,30.000000,0.110500,0.711101
建筑与工程,中高冲击,1.450000,0.820000,E380,***建材有限公司,类D,24.588169,高风险,否,,是,信用得分24.59 < 50,资金不足未放贷,24.600000,24.600000,0.000000,0.122500,0.784481
建筑与工程,中高冲击,1.150000,0.000000,E381,***通信网络工程有限公司,类D,33.025578,高风险,是,进销匹配差异55.62 > 4,否,,不放贷,0.000000,0.000000,0.000000,0.000000,0.000000
科技与线上服务,中冲击,1.100000,0.900000,E382,***教育信息咨询有限公司***分公司,类C,47.597202,高风险,否,,是,信用得分47.60 < 50,放贷,27.000000,27.000000,27.000000,0.122500,0.784481
其他服务,中冲击,1.300000,0.900000,E383,***通讯器材经营部,类D,32.069823,高风险,否,,是,信用得分32.07 < 50,资金不足未放贷,27.000000,27.000000,0.000000,0.122500,0.784481
可选消费与门店经营,高冲击,1.250000,0.000000,E384,个体经营E384 ,类D,37.739645,高风险,否,,是,信用得分37.74 < 50,高冲击高风险池暂停授信,0.000000,0.000000,0.000000,0.000000,0.000000
装饰装修与家居,高冲击,1.000000,0.000000,E385,***装饰工程有限公司,类D,30.937086,高风险,是,最大作废率57.14% > 40%,否,,不放贷,0.000000,0.000000,0.000000,0.000000,0.000000
可选消费与门店经营,高冲击,1.100000,0.000000,E386,个体经营E386 ,类D,34.695682,高风险,否,,是,信用得分34.70 < 50,高冲击高风险池暂停授信,0.000000,0.000000,0.000000,0.000000,0.000000
其他服务,中冲击,1.300000,0.900000,E387,***农副产品经营部,类D,39.466993,高风险,否,,是,信用得分39.47 < 50,资金不足未放贷,27.000000,27.000000,0.000000,0.122500,0.784481
普通批发商贸,中冲击,1.000000,0.900000,E388,***商贸有限公司,类C,52.100039,中风险,否,,否,,放贷,45.000000,45.000000,45.000000,0.110500,0.711101
其他服务,中冲击,1.400000,0.900000,E389,***清洁服务有限公司,类D,33.501879,高风险,否,,是,信用得分33.50 < 50,资金不足未放贷,27.000000,27.000000,0.000000,0.122500,0.784481
建筑与工程,中高冲击,1.300000,0.820000,E390,***建筑工程有限公司,类D,36.003161,高风险,否,,是,信用得分36.00 < 50,资金不足未放贷,24.600000,24.600000,0.000000,0.122500,0.784481
普通批发商贸,中冲击,1.100000,0.900000,E391,***五金店,类C,49.665123,高风险,否,,是,信用得分49.67 < 50,放贷,27.000000,27.000000,27.000000,0.122500,0.784481
科技与线上服务,中冲击,1.150000,0.900000,E392,***科技有限公司,类C,51.305249,中风险,否,,否,,放贷,45.000000,45.000000,45.000000,0.110500,0.711101
普通批发商贸,中冲击,1.000000,0.900000,E393,***商贸有限责任公司,类B,59.934361,中风险,否,,否,,放贷,45.000000,45.000000,45.000000,0.106500,0.705316
其他服务,中冲击,1.000000,0.000000,E394,***环保设计研究院（有限合伙）,类C,52.086948,中风险,是,最大作废率73.42% > 40%,否,,不放贷,0.000000,0.000000,0.000000,0.000000,0.000000
科技与线上服务,中冲击,1.250000,0.900000,E395,***网络科技有限公司,类D,38.747763,高风险,否,,是,信用得分38.75 < 50；最大作废率32.37% > 25%,资金不足未放贷,27.000000,27.000000,0.000000,0.122500,0.784481
文娱广告与线下服务,高冲击,1.150000,0.000000,E396,***文化传播有限公司,类C,50.998656,中风险,否,,是,高冲击行业且销项收入波动系数>1.5,高冲击高风险池暂停授信,0.000000,0.000000,0.000000,0.000000,0.000000
其他服务,中冲击,1.300000,0.900000,E397,***大闸蟹经营部,类D,37.647946,高风险,否,,是,信用得分37.65 < 50；最大作废率27.87% > 25%,资金不足未放贷,27.000000,27.000000,0.000000,0.122500,0.784481
医疗药品与健康服务,低冲击,1.250000,1.000000,E398,***医疗管理咨询有限公司,类D,43.160648,高风险,否,,是,信用得分43.16 < 50,放贷,30.000000,30.000000,30.000000,0.122500,0.784481
装饰装修与家居,高冲击,1.100000,0.000000,E399,***装饰工程有限公司,类D,34.088359,高风险,否,,是,信用得分34.09 < 50,高冲击高风险池暂停授信,0.000000,0.000000,0.000000,0.000000,0.000000
普通批发商贸,中冲击,1.100000,0.900000,E400,***办公用品经营部,类D,41.735482,高风险,否,,是,信用得分41.74 < 50,放贷,27.000000,27.000000,27.000000,0.122500,0.784481
其他服务,中冲击,1.150000,0.000000,E401,***遮阳技术发展中心,类D,40.504174,高风险,是,最大作废率49.35% > 40%,否,,不放贷,0.000000,0.000000,0.000000,0.000000,0.000000
普通批发商贸,中冲击,1.300000,0.900000,E402,***商贸有限公司,类D,38.505405,高风险,否,,是,信用得分38.51 < 50,资金不足未放贷,27.000000,27.000000,0.000000,0.122500,0.784481
制造与设备,中冲击,1.250000,0.900000,E403,***机械有限公司,类C,47.891795,高风险,否,,是,信用得分47.89 < 50,放贷,27.000000,27.000000,27.000000,0.122500,0.784481
可选消费与门店经营,高冲击,1.400000,0.000000,E404,个体经营E404 ,类D,30.975132,高风险,否,,是,信用得分30.98 < 50；最大作废率28.57% > 25%；高冲击行业且销项收入波动系数>1.5,高冲击高风险池暂停授信,0.000000,0.000000,0.000000,0.000000,0.000000
其他服务,中冲击,1.350000,0.000000,E405,***职业技能服务有限公司,类D,27.795342,高风险,是,最大作废率44.44% > 40%,否,,不放贷,0.000000,0.000000,0.000000,0.000000,0.000000
其他服务,中冲击,1.250000,0.900000,E406,***招投标代理有限公司,类D,36.045846,高风险,否,,是,信用得分36.05 < 50,资金不足未放贷,27.000000,27.000000,0.000000,0.122500,0.784481
装饰装修与家居,高冲击,1.100000,0.000000,E407,***装饰工程有限公司,类D,36.111635,高风险,否,,是,信用得分36.11 < 50；最大作废率29.55% > 25%,高冲击高风险池暂停授信,0.000000,0.000000,0.000000,0.000000,0.000000
其他服务,中冲击,1.100000,0.900000,E408,***空调制冷有限责任公司,类D,39.143229,高风险,否,,是,信用得分39.14 < 50,资金不足未放贷,27.000000,27.000000,0.000000,0.122500,0.784481
制造与设备,中冲击,1.250000,0.000000,E409,***塑胶有限公司,类C,47.065639,高风险,是,有效销项金额175849.74 <= 5%分位197251.46,否,,不放贷,0.000000,0.000000,0.000000,0.000000,0.000000
科技与线上服务,中冲击,1.250000,0.900000,E410,***网络科技有限公司,类D,43.427319,高风险,否,,是,信用得分43.43 < 50,放贷,27.000000,27.000000,27.000000,0.122500,0.784481
制造与设备,中冲击,1.250000,0.900000,E411,***机电设备有限公司,类C,46.143431,高风险,否,,是,信用得分46.14 < 50；最大作废率30.93% > 25%,放贷,27.000000,27.000000,27.000000,0.122500,0.784481
普通批发商贸,中冲击,1.000000,0.900000,E412,***汽车贸易有限公司,类C,53.588684,中风险,否,,否,,放贷,45.000000,45.000000,45.000000,0.110500,0.711101
可选消费与门店经营,高冲击,1.250000,0.000000,E413,***石材工艺品有限公司,类D,29.587486,高风险,是,有效销项金额179361.79 <= 5%分位197251.46,否,,不放贷,0.000000,0.000000,0.000000,0.000000,0.000000
物流运输,中冲击,1.350000,0.900000,E414,***物流有限责任公司***分公司,类D,29.670920,高风险,否,,是,信用得分29.67 < 50,资金不足未放贷,27.000000,27.000000,0.000000,0.122500,0.784481
文娱广告与线下服务,高冲击,1.200000,0.000000,E415,***广告设计服务部,类C,50.193069,中风险,是,有效销项金额54610.40 <= 5%分位197251.46,否,,不放贷,0.000000,0.000000,0.000000,0.000000,0.000000
科技与线上服务,中冲击,1.300000,0.000000,E416,***科技有限公司,类D,36.833068,高风险,是,有效销项金额168578.60 <= 5%分位197251.46,否,,不放贷,0.000000,0.000000,0.000000,0.000000,0.000000
建筑与工程,中高冲击,1.150000,0.000000,E417,***园林景观工程有限公司,类C,52.244005,中风险,是,有效销项金额120767.43 <= 5%分位197251.46,否,,不放贷,0.000000,0.000000,0.000000,0.000000,0.000000
文娱广告与线下服务,高冲击,1.250000,0.000000,E418,***营销策划有限公司,类D,33.551136,高风险,否,,是,信用得分33.55 < 50；高冲击行业且销项收入波动系数>1.5,高冲击高风险池暂停授信,0.000000,0.000000,0.000000,0.000000,0.000000
科技与线上服务,中冲击,1.150000,0.000000,E419,***科技有限公司,类D,36.131617,高风险,是,有效销项金额43092.45 <= 5%分位197251.46；进销匹配差异225.23 > 4,否,,不放贷,0.000000,0.000000,0.000000,0.000000,0.000000
医疗药品与健康服务,低冲击,1.150000,0.000000,E420,***康药房,类D,41.295769,高风险,是,有效销项金额67511.53 <= 5%分位197251.46；进销匹配差异25.19 > 4,否,,不放贷,0.000000,0.000000,0.000000,0.000000,0.000000
制造与设备,中冲击,1.450000,0.000000,E421,***保温材料有限公司,类D,32.946076,高风险,是,有效销项金额192260.84 <= 5%分位197251.46,否,,不放贷,0.000000,0.000000,0.000000,0.000000,0.000000
可选消费与门店经营,高冲击,1.150000,0.000000,E422,***童装店,类D,32.980104,高风险,是,有效销项金额17696.99 <= 5%分位197251.46,否,,不放贷,0.000000,0.000000,0.000000,0.000000,0.000000
制造与设备,中冲击,1.000000,0.000000,E423,***通风设备有限公司,类D,39.023348,高风险,是,有效销项金额61868.44 <= 5%分位197251.46,否,,不放贷,0.000000,0.000000,0.000000,0.000000,0.000000
